"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Scott Alexander","Royals",".306","8.64","12.4 %","78.5 %","9.1 %","0.0 %","9.1 %","24","5.02","253","423","676","45.1 %","36.1 %","18.9 %","27.1 %","49.2 %","23.8 %","10591"
"Alex Claudio","Rangers",".246","5.13","16.6 %","69.8 %","13.6 %","8.7 %","17.4 %","26","4.06","236","492","728","46.2 %","35.1 %","18.7 %","26.3 %","50.9 %","22.8 %","12890"
"Dan Otero","Indians",".302","4.63","24.6 %","62.0 %","13.4 %","10.5 %","31.6 %","24","5.18","191","424","615","36.6 %","37.2 %","26.2 %","23.5 %","46.9 %","29.7 %","7385"
"Lance McCullers","Astros",".331","3.60","19.0 %","63.4 %","17.6 %","2.0 %","12.0 %","49","4.17","666","1126","1792","46.9 %","32.1 %","21.0 %","21.4 %","52.4 %","26.2 %","14120"
"Dallas Keuchel","Astros",".242","3.48","15.3 %","65.8 %","18.9 %","4.8 %","19.0 %","51","5.49","455","749","1204","40.3 %","38.5 %","21.2 %","28.3 %","48.2 %","23.5 %","9434"
"Richard Bleier","Orioles",".264","3.28","11.4 %","67.9 %","20.7 %","6.9 %","10.3 %","24","5.36","179","407","586","39.2 %","40.6 %","20.3 %","18.2 %","52.5 %","29.4 %","7803"
"Luis Perdomo","Padres",".344","3.10","16.7 %","63.0 %","20.3 %","9.0 %","16.4 %","58","5.00","617","1033","1650","36.5 %","44.3 %","19.2 %","17.7 %","49.7 %","32.6 %","14682"
"Marcus Stroman","Blue Jays",".311","3.00","16.6 %","62.5 %","20.8 %","4.8 %","16.7 %","94","6.12","778","1357","2135","33.7 %","38.9 %","27.3 %","21.2 %","49.0 %","29.8 %","13431"
"Dan Jennings","- - -",".250","2.96","20.8 %","59.2 %","20.0 %","11.5 %","23.1 %","17","3.38","290","462","752","38.4 %","35.3 %","26.3 %","27.8 %","46.6 %","25.6 %","8073"
"Ryan Madson","- - -",".245","2.95","25.5 %","55.7 %","18.9 %","10.0 %","10.0 %","32","6.35","229","421","650","35.2 %","41.7 %","23.2 %","27.8 %","51.9 %","20.4 %","1852"
"James Pazos","Mariners",".315","2.86","23.4 %","56.8 %","19.8 %","9.1 %","18.2 %","18","3.98","267","462","729","31.3 %","30.4 %","38.4 %","23.2 %","56.3 %","20.5 %","13323"
"Clayton Richard","Padres",".364","2.77","21.0 %","58.1 %","21.0 %","4.3 %","19.6 %","51","3.44","726","1376","2102","38.8 %","36.3 %","24.9 %","17.6 %","49.4 %","33.0 %","3551"
"Pedro Strop","Cubs",".250","2.76","6.9 %","68.3 %","24.8 %","4.0 %","12.0 %","28","6.15","289","425","714","41.8 %","32.0 %","26.2 %","23.3 %","51.5 %","25.2 %","4070"
"Alex Wood","Dodgers",".272","2.74","18.7 %","59.6 %","21.7 %","13.8 %","8.6 %","80","6.90","516","1046","1562","36.7 %","40.7 %","22.6 %","19.6 %","58.2 %","22.2 %","13781"
"Blake Treinen","- - -",".356","2.68","15.5 %","61.5 %","23.0 %","5.9 %","11.8 %","18","3.31","287","490","777","38.7 %","32.7 %","28.7 %","20.7 %","52.7 %","26.7 %","12572"
"Jared Hughes","Brewers",".308","2.67","18.9 %","59.0 %","22.1 %","7.4 %","11.1 %","13","2.70","273","410","683","40.7 %","41.5 %","17.9 %","21.1 %","40.7 %","38.2 %","9325"
"Tyler Chatwood","Rockies",".274","2.56","20.2 %","57.4 %","22.4 %","4.2 %","23.9 %","55","4.39","783","1107","1890","37.3 %","38.2 %","24.5 %","22.3 %","48.9 %","28.8 %","4338"
"Brandon Kintzler","- - -",".266","2.50","22.8 %","55.2 %","22.1 %","15.6 %","9.4 %","5","0.95","287","484","771","37.0 %","39.7 %","23.3 %","20.6 %","54.8 %","24.7 %","9939"
"Joakim Soria","Royals",".344","2.46","20.5 %","56.6 %","23.0 %","3.6 %","3.6 %","17","3.28","302","521","823","37.4 %","35.8 %","26.8 %","17.9 %","57.7 %","24.4 %","6941"
"Bryan Shaw","Indians",".302","2.46","18.8 %","57.7 %","23.5 %","14.3 %","8.6 %","33","5.82","287","522","809","32.2 %","36.2 %","31.6 %","30.3 %","46.7 %","23.0 %","8110"
"Sonny Gray","- - -",".281","2.45","20.8 %","56.3 %","22.9 %","3.0 %","12.1 %","56","4.89","634","1055","1689","45.1 %","32.1 %","22.9 %","17.4 %","54.6 %","28.0 %","12768"
"Mike Montgomery","Cubs",".274","2.39","18.0 %","57.8 %","24.2 %","1.7 %","11.9 %","40","4.17","568","864","1432","41.1 %","37.9 %","21.0 %","20.2 %","46.4 %","33.5 %","4869"
"Mike Leake","Cardinals",".289","2.37","20.6 %","55.8 %","23.6 %","5.0 %","13.9 %","62","4.14","698","1303","2001","45.7 %","35.6 %","18.7 %","15.5 %","53.1 %","31.4 %","10130"
"Scott Oberg","Rockies",".391","2.29","19.4 %","56.1 %","24.5 %","8.8 %","8.8 %","18","3.80","257","481","738","38.3 %","36.2 %","25.5 %","16.3 %","53.2 %","30.5 %","13911"
"Zack Godley","Diamondbacks",".252","2.29","19.3 %","56.1 %","24.6 %","7.1 %","10.7 %","47","4.48","520","890","1410","35.4 %","45.0 %","19.6 %","20.8 %","50.8 %","28.3 %","14862"
"Jeremy Jeffress","- - -",".331","2.28","20.5 %","55.3 %","24.2 %","3.1 %","25.0 %","27","5.88","260","449","709","38.5 %","43.7 %","17.8 %","24.4 %","44.4 %","31.1 %","9490"
"Michael Lorenzen","Reds",".288","2.27","18.8 %","56.4 %","24.8 %","4.9 %","14.6 %","21","3.32","350","582","932","37.3 %","35.5 %","27.2 %","18.9 %","52.1 %","29.0 %","14843"
"Blake Wood","Reds",".345","2.23","21.5 %","54.2 %","24.3 %","8.6 %","8.6 %","6","1.03","336","544","880","34.5 %","39.3 %","26.2 %","20.0 %","49.7 %","30.3 %","1345"
