"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Kenley Jansen","Dodgers","13.69","0.76","18.00","0.57","41.1 %","2.3 %","38.9 %",".165","0.68",".263","86.8 %","33","29","48","1.33","1.24","0.09","2.07","1.52","3096"
"Craig Kimbrel","Red Sox","16.39","1.54","10.63","0.77","49.1 %","4.6 %","44.5 %",".148","0.69",".274","91.8 %","34","30","31","1.54","1.32","0.22","1.35","1.11","6655"
"Tommy Kahnle","- - -","14.62","1.42","10.29","0.61","41.4 %","4.0 %","37.4 %",".206","0.92",".344","74.7 %","55","31","43","2.44","1.38","1.06","1.86","1.63","11384"
"Roberto Osuna","Blue Jays","12.33","0.98","12.60","0.39","36.2 %","2.9 %","33.3 %",".186","0.78",".284","68.2 %","62","32","56","2.74","1.42","1.32","2.44","1.97","13764"
"Trevor Rosenthal","Cardinals","14.41","3.65","3.94","0.41","38.6 %","9.8 %","28.8 %",".195","1.13",".330","73.2 %","77","44","56","3.25","1.88","1.37","2.41","2.47","10745"
"Joakim Soria","Royals","10.80","2.70","4.00","0.19","28.9 %","7.2 %","21.7 %",".240","1.22",".344","70.7 %","73","46","63","3.28","1.98","1.30","2.77","2.80","6941"
"Chris Sale","Red Sox","12.68","1.64","7.71","0.76","36.1 %","4.7 %","31.4 %",".196","0.91",".291","75.5 %","59","48","61","2.70","2.07","0.63","2.68","2.54","10603"
"Pat Neshek","- - -","10.20","1.00","10.20","0.60","30.2 %","3.0 %","27.2 %",".207","0.87",".282","86.2 %","35","47","74","1.60","2.07","-0.47","3.18","2.62","4682"
"Andrew Miller","Indians","13.00","2.50","5.20","0.50","37.5 %","7.2 %","30.3 %",".138","0.76",".215","83.7 %","38","47","61","1.67","2.08","-0.42","2.65","2.28","6785"
"Corey Knebel","Brewers","15.95","5.26","3.03","0.53","42.9 %","14.2 %","28.8 %",".171","1.19",".322","91.7 %","36","48","63","1.58","2.17","-0.59","2.72","2.67","15010"
"Blake Parker","Angels","11.54","2.61","4.43","0.56","33.3 %","7.5 %","25.8 %",".169","0.89",".243","79.9 %","49","53","62","2.05","2.25","-0.20","2.69","2.60","5224"
"Ryan Madson","- - -","9.53","1.39","6.86","0.40","28.9 %","4.2 %","24.7 %",".179","0.77",".245","82.4 %","43","53","57","1.79","2.26","-0.47","2.47","2.39","1852"
"Chad Green","Yankees","12.92","2.31","5.58","0.77","39.0 %","7.0 %","32.0 %",".139","0.73",".207","88.8 %","40","50","64","1.74","2.28","-0.55","2.81","2.18","15552"
"Archie Bradley","Diamondbacks","10.33","1.81","5.70","0.54","29.4 %","5.2 %","24.2 %",".202","0.95",".276","91.3 %","32","53","67","1.45","2.29","-0.84","2.87","2.72","12918"
"James Paxton","Mariners","10.48","2.54","4.13","0.40","28.8 %","7.0 %","21.8 %",".215","1.09",".301","75.6 %","64","54","72","2.70","2.31","0.39","3.13","3.37","11828"
"Felipe Rivero","Pirates","10.67","2.10","5.08","0.49","31.3 %","6.2 %","25.1 %",".138","0.72",".190","82.5 %","23","56","67","0.97","2.33","-1.36","2.88","2.59","12076"
"Nick Vincent","Mariners","6.94","1.54","4.50","0.19","19.8 %","4.4 %","15.4 %",".224","1.01",".277","83.3 %","41","56","101","1.74","2.39","-0.65","4.40","3.94","7555"
"Ken Giles","Astros","11.25","3.15","3.57","0.45","31.3 %","8.8 %","22.5 %",".186","1.03",".269","74.0 %","69","56","79","2.93","2.41","0.51","3.45","3.04","12910"
"Brad Hand","Padres","11.73","2.25","5.21","0.64","33.5 %","6.4 %","27.1 %",".190","0.93",".276","85.3 %","47","57","62","1.93","2.43","-0.50","2.67","2.49","9111"
"Corey Kluber","Indians","12.52","2.04","6.14","0.95","35.8 %","5.8 %","30.0 %",".200","0.95",".291","77.6 %","63","56","54","2.77","2.45","0.31","2.38","2.60","2429"
"Anthony Swarzak","- - -","10.06","2.35","4.29","0.50","29.0 %","6.8 %","22.2 %",".208","1.01",".287","82.7 %","49","55","84","2.18","2.47","-0.29","3.66","3.08","7466"
"Greg Holland","Rockies","11.83","4.02","2.94","0.45","34.0 %","11.5 %","22.4 %",".167","1.02",".253","89.0 %","31","54","84","1.56","2.50","-0.93","3.61","3.13","7196"
"Mike Minor","Royals","9.73","2.35","4.14","0.50","27.4 %","6.6 %","20.8 %",".198","0.99",".265","76.3 %","56","59","83","2.52","2.54","-0.03","3.64","3.20","10021"
"Dellin Betances","Yankees","16.24","7.02","2.31","0.22","41.1 %","17.8 %","23.3 %",".147","1.29",".294","81.3 %","55","56","71","2.41","2.55","-0.14","3.10","3.39","6216"
"Alex Wood","Dodgers","9.66","2.50","3.86","0.43","27.0 %","7.0 %","20.0 %",".202","1.02",".272","76.7 %","57","61","68","2.33","2.56","-0.24","2.93","3.21","13781"
"Adam Warren","Yankees","8.47","2.36","3.58","0.39","24.6 %","6.9 %","17.7 %",".154","0.81",".197","68.2 %","45","59","88","1.97","2.68","-0.71","3.82","3.47","9029"
"Raisel Iglesias","Reds","10.57","3.52","3.00","0.50","30.0 %","10.0 %","20.0 %",".175","1.01",".244","84.3 %","42","61","76","1.84","2.69","-0.85","3.26","3.25","17130"
"Juan Nicasio","Pirates","9.12","3.04","3.00","0.36","24.8 %","8.3 %","16.5 %",".219","1.15",".291","80.4 %","56","66","86","2.32","2.76","-0.44","3.69","3.59","7731"
"Yusmeiro Petit","Angels","9.34","1.87","5.00","0.72","26.4 %","5.3 %","21.1 %",".211","0.99",".272","75.0 %","59","65","90","2.44","2.77","-0.33","3.92","3.30","4020"
"Jim Johnson","Braves","10.64","3.35","3.18","0.59","27.4 %","8.6 %","18.8 %",".229","1.27",".311","71.2 %","92","67","81","3.94","2.81","1.13","3.47","3.34","3656"
"Max Scherzer","Nationals","12.36","2.21","5.58","1.05","35.7 %","6.4 %","29.3 %",".168","0.84",".233","83.2 %","51","66","71","2.21","2.83","-0.61","3.08","2.74","3137"
"Ross Stripling","Dodgers","9.00","2.12","4.25","0.71","23.9 %","5.6 %","18.3 %",".264","1.27",".336","75.8 %","86","68","76","3.53","2.87","0.66","3.27","3.30","13273"
"Luis Severino","Yankees","10.38","2.37","4.37","0.81","28.2 %","6.5 %","21.7 %",".221","1.10",".293","76.8 %","68","64","71","2.98","2.91","0.07","3.10","3.31","15890"
"Clayton Kershaw","Dodgers","10.70","1.53","7.00","1.15","31.1 %","4.4 %","26.6 %",".195","0.88",".251","90.2 %","50","69","63","2.04","2.93","-0.89","2.72","2.89","2036"
"Matt Barnes","Red Sox","10.36","3.91","2.65","0.51","28.6 %","10.8 %","17.8 %",".196","1.13",".272","70.4 %","74","68","74","3.40","2.93","0.46","3.24","3.36","12863"
"Lance McCullers","Astros","10.05","3.07","3.28","0.51","26.0 %","7.9 %","18.1 %",".245","1.29",".331","69.0 %","92","68","70","3.92","2.95","0.97","3.05","3.30","14120"
"Brad Peacock","Astros","11.79","4.74","2.49","0.55","31.2 %","12.5 %","18.7 %",".201","1.26",".296","77.6 %","75","68","88","3.20","2.97","0.23","3.85","3.82","5401"
"Zack Godley","Diamondbacks","9.16","2.77","3.31","0.57","26.0 %","7.9 %","18.2 %",".193","1.00",".252","74.8 %","63","69","75","2.86","2.98","-0.12","3.21","3.56","14862"
"Jake McGee","Rockies","10.23","2.61","3.92","0.87","28.5 %","7.3 %","21.2 %",".216","1.09",".284","76.1 %","64","65","81","3.27","2.99","0.27","3.50","3.16","7550"
"Brian Duensing","Cubs","10.29","1.94","5.30","0.97","28.2 %","5.3 %","22.9 %",".222","1.06",".288","88.6 %","54","70","77","2.33","3.03","-0.70","3.32","2.95","4064"
"Brandon Maurer","- - -","9.00","2.05","4.40","0.82","23.8 %","5.4 %","18.4 %",".264","1.27",".333","54.5 %","142","72","87","5.93","3.07","2.86","3.75","3.46","4878"
"Jimmy Nelson","Brewers","10.03","2.15","4.66","0.94","27.2 %","5.8 %","21.4 %",".250","1.20",".328","76.3 %","76","69","72","3.37","3.10","0.26","3.11","3.34","10547"
"Chris Devenski","Astros","11.74","2.49","4.71","1.17","34.0 %","7.2 %","26.8 %",".166","0.86",".217","79.4 %","65","71","69","2.79","3.11","-0.32","3.03","2.61","12763"
"David Robertson","- - -","12.54","2.34","5.36","1.28","35.5 %","6.6 %","28.9 %",".190","0.94",".261","89.3 %","58","69","67","2.55","3.12","-0.56","2.91","2.40","8241"
"Brad Brach","Orioles","9.96","2.49","4.00","0.96","28.7 %","7.2 %","21.6 %",".185","0.94",".234","78.4 %","60","70","84","2.68","3.14","-0.46","3.65","3.15","6627"
"Blake Wood","Reds","9.80","4.13","2.38","0.52","25.1 %","10.6 %","14.5 %",".257","1.45",".345","70.1 %","87","71","83","3.78","3.14","0.64","3.58","3.66","1345"
"Randall Delgado","Diamondbacks","8.62","2.01","4.29","0.86","23.2 %","5.4 %","17.8 %",".245","1.18",".302","65.6 %","79","72","82","3.59","3.14","0.45","3.51","3.57","5985"
"Stephen Strasburg","Nationals","10.43","2.74","3.81","0.89","28.1 %","7.4 %","20.7 %",".215","1.12",".283","74.1 %","75","74","81","3.25","3.14","0.12","3.51","3.55","10131"
"Scott Alexander","Royals","7.33","3.98","1.84","0.21","19.9 %","10.8 %","9.1 %",".242","1.33",".306","75.5 %","51","73","75","2.30","3.14","-0.84","3.29","3.09","10591"
"Chris Archer","Rays","11.07","2.80","3.96","1.03","29.3 %","7.4 %","21.9 %",".242","1.24",".325","72.5 %","92","75","77","3.89","3.19","0.70","3.37","3.45","6345"
"Nick Goody","Indians","11.60","3.79","3.06","0.89","31.7 %","10.4 %","21.3 %",".199","1.14",".278","82.1 %","50","73","85","2.23","3.19","-0.96","3.71","3.24","13685"
"Aaron Nola","Phillies","9.40","2.65","3.55","0.85","25.5 %","7.2 %","18.3 %",".236","1.19",".301","79.5 %","74","72","82","3.16","3.20","-0.04","3.51","3.70","16149"
"Sonny Gray","- - -","8.74","2.88","3.03","0.70","23.4 %","7.7 %","15.7 %",".224","1.17",".281","63.2 %","81","75","76","3.41","3.20","0.21","3.33","3.73","12768"
"Madison Bumgarner","Giants","8.49","1.67","5.09","0.91","23.1 %","4.6 %","18.6 %",".223","1.04",".269","80.9 %","71","79","92","2.88","3.22","-0.34","3.95","3.83","5524"
"Zack Greinke","Diamondbacks","9.93","1.71","5.81","1.20","28.0 %","4.8 %","23.2 %",".223","1.03",".279","76.2 %","68","75","74","3.10","3.24","-0.14","3.19","3.26","1943"
"Brent Suter","Brewers","7.87","2.15","3.67","0.72","21.3 %","5.8 %","15.5 %",".254","1.21",".310","76.7 %","68","73","92","3.04","3.26","-0.22","3.96","3.99","13942"
"David Phelps","- - -","10.40","3.69","2.82","0.84","27.7 %","9.8 %","17.9 %",".238","1.30",".319","76.2 %","79","78","79","3.35","3.27","0.08","3.42","3.47","6316"
"Addison Reed","- - -","8.83","1.04","8.50","1.21","24.3 %","2.9 %","21.4 %",".250","1.10",".301","89.0 %","63","76","87","2.60","3.27","-0.68","3.75","3.20","10586"
"Justin Wilson","- - -","12.05","3.95","3.05","1.04","33.3 %","10.9 %","22.4 %",".168","1.04",".228","81.6 %","62","75","82","2.70","3.28","-0.58","3.58","3.12","4301"
"Dominic Leone","Blue Jays","9.62","3.70","2.60","0.74","26.8 %","10.3 %","16.5 %",".184","1.07",".237","77.6 %","58","75","100","2.59","3.30","-0.72","4.35","3.78","13763"
