Draft_Position,Name,TEAM,POS,value,Team,playerid,url,xpath,xpathIP_PA,Status,New_Position
24,Trea Turner,Wsh,SS,$30,The Fireballing Five,16252,http://www.fangraphs.com/statss.aspx?playerid=16252&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__23""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__23""]/td[4]",Starter,
37,Max Scherzer,Wsh,SP,$40,The Fireballing Five,3137,http://www.fangraphs.com/statss.aspx?playerid=3137&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__38""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__38""]/td[8]",Starter,
52,Garrett Richards,LAA,SP,$12,The Fireballing Five,9784,http://www.fangraphs.com/statss.aspx?playerid=9784&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[8]",Starter,
58,Jacob deGrom,NYM,SP,$23,The Fireballing Five,10954,http://www.fangraphs.com/statss.aspx?playerid=10954&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__23""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__23""]/td[8]",Starter,
59,Noah Syndergaard,NYM,SP,$25,The Fireballing Five,11762,http://www.fangraphs.com/statss.aspx?playerid=11762&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[8]",Starter,
62,Luis Severino,NYY,SP,$23,The Fireballing Five,15890,http://www.fangraphs.com/statss.aspx?playerid=15890&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[8]",Starter,
95,Robbie Ray,Ari,SP,$16,The Fireballing Five,11486,http://www.fangraphs.com/statss.aspx?playerid=11486&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[8]",Starter,
105,Andrew Benintendi,Bos,OF,$19,The Fireballing Five,17901,http://www.fangraphs.com/statss.aspx?playerid=17901&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[4]",Starter,
107,Andrew McCutchen,SF,OF,$14,The Fireballing Five,9847,http://www.fangraphs.com/statss.aspx?playerid=9847&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[4]",Starter,
122,Greg Bird,NYY,1B,$8,The Fireballing Five,14131,https://www.fangraphs.com/statss.aspx?playerid=14131&position=1B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__13""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__13""]/td[4]",Bench,
128,Miguel Sano,Min,3B,$6,The Fireballing Five,12164,http://www.fangraphs.com/statss.aspx?playerid=12164&position=3B/DH,"//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[4]",Starter,
146,Carlos Santana,Phi,1B,$5,The Fireballing Five,2396,http://www.fangraphs.com/statss.aspx?playerid=2396&position=C/1B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[4]",Starter,
152,Josh Bell,Pit,1B,$3,The Fireballing Five,13145,http://www.fangraphs.com/statss.aspx?playerid=13145&position=1B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[4]",Starter,
171,Chris Davis,Bal,1B,$4,The Fireballing Five,9272,http://www.fangraphs.com/statss.aspx?playerid=9272&position=1B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__43""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__43""]/td[4]",Bench,
184,Delino DeShields,Tex,OF,$2,The Fireballing Five,11379,https://www.fangraphs.com/statss.aspx?playerid=11379&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[4]",Starter,
193,Gregory Polanco,Pit,OF,$2,The Fireballing Five,12907,http://www.fangraphs.com/statss.aspx?playerid=12907&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[4]",Starter,
