,Name,TEAM,POS,Team,playerid,url,xpath,xpathIP_PA,Status
16,Alex Cobb,TB ,P,Big Sexy,6562,http://www.fangraphs.com/statss.aspx?playerid=6562&position=P,//*[@id='SeasonStats1_dgSeason11_ctl00__27']/td[19],"//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[8]",Starter
23,Andrew Miller,Cle,P,Big Sexy,6785,http://www.fangraphs.com/statss.aspx?playerid=6785&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__51""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__51""]/td[8]",Starter
24,Anthony DeSclafani,Cin,P,Big Sexy,13050,http://www.fangraphs.com/statss.aspx?playerid=13050&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__12""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__12""]/td[8]",Bench
29,Bartolo Colon,Atl,P,Big Sexy,375,http://www.fangraphs.com/statss.aspx?playerid=375&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__59""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__59""]/td[8]",Starter
36,Brad Miller,TB ,SS,Big Sexy,12775,http://www.fangraphs.com/statss.aspx?playerid=12775&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[4]",Starter
60,Carlos Gonzalez,Col,OF,Big Sexy,7287,http://www.fangraphs.com/statss.aspx?playerid=7287&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__33""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__33""]/td[4]",Starter
62,Carlos Martinez,StL,P,Big Sexy,11682,http://www.fangraphs.com/statss.aspx?playerid=11682&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__23""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__23""]/td[8]",Starter
63,Carlos Rodon,CWS,P,Big Sexy,16137,http://www.fangraphs.com/statss.aspx?playerid=16137&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__7""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__7""]/td[8]",Starter
67,Chad Kuhl,Pit,P,Big Sexy,14975,http://www.fangraphs.com/statss.aspx?playerid=14975&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__11""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__11""]/td[8]",Starter
86,Daniel Murphy,Wsh,2B,Big Sexy,4316,http://www.fangraphs.com/statss.aspx?playerid=4316&position=2B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[4]",Starter
87,Daniel Norris,Det,P,Big Sexy,13475,http://www.fangraphs.com/statss.aspx?playerid=13475&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[8]",Starter
107,Dylan Bundy,Bal,P,Big Sexy,12917,http://www.fangraphs.com/statss.aspx?playerid=12917&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__15""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__15""]/td[8]",Starter
117,Eric Thames,Mil,OF,Big Sexy,3711,http://www.fangraphs.com/statss.aspx?playerid=3711&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[4]",Bench
122,Felipe Rivero,Pit,P,Big Sexy,12076,http://www.fangraphs.com/statss.aspx?playerid=12076&position=P,//*[@id='SeasonStats1_dgSeason11_ctl00__20']/td[19],//*[@id='SeasonStats1_dgSeason11_ctl00__20']/td[8],Bench
155,Jaime Garcia,Atl,P,Big Sexy,8137,http://www.fangraphs.com/statss.aspx?playerid=8137&position=P,//*[@id='SeasonStats1_dgSeason11_ctl00__40']/td[19],//*[@id='SeasonStats1_dgSeason11_ctl00__40']/td[8],Starter
160,James Paxton,Sea,P,Big Sexy,11828,http://www.fangraphs.com/statss.aspx?playerid=11828&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[8]",Starter
168,Jay Bruce,NYM,OF,Big Sexy,9892,http://www.fangraphs.com/statss.aspx?playerid=9892&position=OF,//*[@id='SeasonStats1_dgSeason11_ctl00__35']/td[21],//*[@id='SeasonStats1_dgSeason11_ctl00__35']/td[4],Starter
175,Jeurys Familia,NYM,P,Big Sexy,5114,http://www.fangraphs.com/statss.aspx?playerid=5114&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[8]",Bench
181,Joc Pederson,LAD,OF,Big Sexy,11899,http://www.fangraphs.com/statss.aspx?playerid=11899&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[4]",Starter
218,Justin Turner,LAD,3B ,Big Sexy,5235,http://www.fangraphs.com/statss.aspx?playerid=5235&position=3B,//*[@id='SeasonStats1_dgSeason11_ctl00__41']/td[21],//*[@id='SeasonStats1_dgSeason11_ctl00__41']/td[4],Starter
242,Luis Severino,NYY,P,Big Sexy,15890,http://www.fangraphs.com/statss.aspx?playerid=15890&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[8]",Starter
267,Melky Cabrera,CWS,OF,Big Sexy,4022,http://www.fangraphs.com/statss.aspx?playerid=4022&position=OF,//*[@id='SeasonStats1_dgSeason11_ctl00__38']/td[21],//*[@id='SeasonStats1_dgSeason11_ctl00__38']/td[4],Starter
291,Nolan Arenado,Col,3B ,Big Sexy,9777,http://www.fangraphs.com/statss.aspx?playerid=9777&position=3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[4]",Starter
322,Stephen Vogt,Oak,C,Big Sexy,5000,http://www.fangraphs.com/statss.aspx?playerid=5000&position=C,//*[@id='SeasonStats1_dgSeason11_ctl00__26']/td[21],//*[@id='SeasonStats1_dgSeason11_ctl00__26']/td[4],Starter
328,Tim Anderson,CWS,SS,Big Sexy,15172,http://www.fangraphs.com/statss.aspx?playerid=15172&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__13""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__13""]/td[4]",Starter
334,Trea Turner,Wsh,2B/OF,Big Sexy,16252,http://www.fangraphs.com/statss.aspx?playerid=16252&position=2B/SS/OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[4]",Starter
346,Wade Davis,ChC,P,Big Sexy,7441,http://www.fangraphs.com/statss.aspx?playerid=7441&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[8]",Bench
348,Welington Castillo,Bal,C,Big Sexy,3256,http://www.fangraphs.com/statss.aspx?playerid=3256&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[4]",Starter
356,Yasiel Puig,LAD,OF,Big Sexy,14225,http://www.fangraphs.com/statss.aspx?playerid=14225&position=OF,//*[@id='SeasonStats1_dgSeason11_ctl00__23']/td[21],//*[@id='SeasonStats1_dgSeason11_ctl00__23']/td[4],Starter
361,Zach Britton,Bal,P,Big Sexy,3240,http://www.fangraphs.com/statss.aspx?playerid=3240&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[8]",Starter
1,A.J. Pollock,Ari,OF,Billy Heywood,9256,http://www.fangraphs.com/statss.aspx?playerid=9256&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__23""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__23""]/td[4]",Starter
2,Aaron Nola,Phi,P,Billy Heywood,16149,http://www.fangraphs.com/statss.aspx?playerid=16149&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__14""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__14""]/td[8]",Starter
11,Adrian Beltre,Tex,3B,Billy Heywood,639,http://www.fangraphs.com/statss.aspx?playerid=639&position=3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__49""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__49""]/td[4]",Starter
