"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Bryce Harper","Nationals","142","600","486","136","26","2","29","88","86","104","124","3","14","8",".280",".406",".521",".926",".389","0.6","-0.9","4.4","10.9","11579"
"Jose Bautista","Blue Jays","117","510","425","107","22","1","27","70","85","77","96","4","4","2",".252",".369",".499",".867",".370","-4.1","-0.3","2.7","95.2","1887"
"Giancarlo Stanton","Marlins","119","484","417","106","20","2","31","66","82","60","145","4","4","2",".254",".351",".535",".886",".369","2.9","-0.3","3.2","37.1","4949"
"Mookie Betts","Red Sox","156","710","645","198","43","6","24","101","95","56","85","2","27","6",".307",".361",".504",".865",".368","12.8","2.5","5.7","3.5","13611"
"J.D. Martinez","Tigers","141","590","533","151","32","3","30","75","86","47","151","5","4","2",".283",".344",".523",".868",".365","-7.8","-0.3","2.7","68.8","6184"
"Carlos Gonzalez","Rockies","134","544","497","141","29","3","28","69","83","43","125","1","7","2",".284",".340",".523",".863",".362","0.1","0.3","1.8","56.9","7287"
"Nelson Cruz","Mariners","137","586","528","141","23","1","36","77","93","48","149","6","3","2",".267",".333",".519",".852",".357","-4.6","-0.5","2.9","38.3","2434"
"David Peralta","Diamondbacks","114","413","374","107","21","8","12","47","51","31","82","4","5","2",".286",".344",".481",".825",".350","-0.9","0.0","1.4","268.8","2136"
"George Springer","Astros","131","590","509","128","23","3","26","89","76","68","162","10","12","6",".251",".350",".462",".811",".350","1.9","-0.4","3.1","33.8","12856"
"Shin-Soo Choo","Rangers","95","417","354","92","17","1","14","53","41","49","99","11","5","4",".260",".365",".432",".798",".348","-5.4","-0.9","1.1","309.5","3174"
"Ryan Braun","Brewers","131","548","497","140","25","3","22","74","85","44","101","4","14","5",".282",".343",".477",".820",".347","-2.2","0.5","1.8","47.9","3410"
"Yasiel Puig","Dodgers","139","541","487","134","25","5","19","70","74","44","113","8","7","6",".275",".344",".464",".808",".346","2.9","-1.4","2.6","212.1","14225"
"Brandon Guyer","Indians","107","355","309","84","19","2","7","45","34","20","59","22","6","2",".272",".358",".414",".772",".340","0.8","0.2","1.4","702.3","2636"
"Adam Eaton","Nationals","149","666","591","169","29","12","9","91","59","55","103","13","16","8",".286",".359",".421",".780",".340","-3.5","-0.5","2.8","124.4","11205"
"Hunter Pence","Giants","108","457","417","115","21","3","16","63","62","36","92","2","5","2",".276",".335",".456",".790",".339","0.9","-0.1","1.9","196.0","8252"
"Mark Trumbo","Orioles","136","557","513","129","23","2","32","73","95","41","141","1","2","1",".251",".307",".491",".798",".337","-6.4","-0.3","1.2","79.4","6876"
"Stephen Piscotty","Cardinals","149","625","564","154","36","3","18","77","79","49","115","8","8","6",".273",".338",".443",".781",".337","5.2","-1.2","2.5","122.8","13367"
"Seth Smith","Orioles","121","410","357","90","19","2","14","54","55","45","84","5","0","0",".252",".341",".434",".776",".335","0.1","-0.2","1.3","457.3","7331"
"Domingo Santana","Brewers","118","466","408","99","20","2","19","59","60","52","152","4","4","3",".243",".333",".441",".774",".334","-1.6","-0.7","1.0","275.3","10348"
"Josh Bell","Pirates","147","612","537","145","27","6","15","73","74","64","90","3","4","5",".270",".347",".426",".773",".332","-2.4","-1.6","1.1","262.3","13145"
"Carlos Beltran","Astros","132","521","483","131","30","0","21","59","77","32","92","2","0","0",".271",".317",".464",".780",".331","0.0","-0.2","1.0","208.0","589"
"Josh Reddick","Astros","125","477","435","116","20","3","17","60","59","40","73","0","7","2",".267",".327",".444",".771",".330","3.7","0.3","2.0","302.3","3892"
"Yasmany Tomas","Diamondbacks","134","524","496","134","26","2","23","60","70","25","121","2","3","3",".270",".307",".470",".777",".330","-9.5","-0.9","0.0","185.0","17171"
"Kole Calhoun","Angels","145","620","559","147","29","4","20","84","75","52","122","4","4","2",".263",".328",".436",".764",".330","4.3","-0.4","2.7","171.5","11200"
"Curtis Granderson","Mets","127","538","467","111","22","3","21","75","57","61","117","6","6","3",".238",".331",".433",".763",".328","-6.8","-0.3","1.7","245.0","4747"
"Aaron Judge","Yankees","122","522","467","107","20","2","30","71","83","45","179","5","4","1",".229",".301",".473",".774",".328","2.6","0.2","1.8","303.2","15640"
"Matt Joyce","Athletics","129","375","313","74","16","1","11","45","44","54","87","3","2","3",".236",".349",".399",".749",".326","-3.4","-1.1","0.8","554.8","3353"
"Jabari Blash","Padres","101","376","324","71","14","1","18","50","46","41","130","8","4","3",".219",".319",".435",".754",".325","-1.0","-0.6","0.8","835.8","11247"
"Franklin Gutierrez","Dodgers","83","282","256","63","13","0","13","35","43","21","77","3","2","1",".246",".309",".449",".758",".324","-4.1","-0.1","0.3","815.6","3255"
"Scott Schebler","Reds","144","564","512","128","21","9","21","72","79","36","143","13","8","3",".250",".314",".449",".764",".324","0.1","0.1","1.1","366.6","12225"
"Nomar Mazara","Rangers","152","598","544","146","15","4","22","62","72","41","116","6","0","2",".268",".323",".432",".755",".324","0.7","-1.2","1.2","196.4","14553"
"Oswaldo Arcia","Diamondbacks","101","373","340","81","16","3","18","41","52","26","116","5","1","2",".238",".300",".462",".762",".323","-6.0","-0.8","-0.2","885.9","10306"
"Max Kepler","Twins","137","561","498","125","27","7","16","66","74","53","105","3","9","3",".251",".323",".430",".753",".322","4.2","0.3","1.7","234.6","12144"
